Feb 02 16:21:43 Holocron vikunja[26640]: 2026-02-02T16:21:43+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/Settings-D3FoCDpw.js 315.123µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:43 Holocron vikunja[26640]: 2026-02-02T16:21:43+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/Settings-legacy-nplI1MMw.js 344.246µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:43 Holocron vikunja[26640]: 2026-02-02T16:21:43+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/sk-SK-Cfg6SYOQ.js 4.536871ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:43 Holocron vikunja[26640]: 2026-02-02T16:21:43+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/sk-SK-legacy-B_FrH4ze.js 11.342946ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:43 Holocron vikunja[26640]: 2026-02-02T16:21:43+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/sl-BqCHGdDt.js 397.325µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:43 Holocron vikunja[26640]: 2026-02-02T16:21:43+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/sl-legacy-BeY8ZYbm.js 425.611µs - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:43 Holocron vikunja[26640]: 2026-02-02T16:21:43+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/sl-SI-DjTKuVWn.js 5.53476ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:43 Holocron vikunja[26640]: 2026-02-02T16:21:43+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/sl-SI-legacy-BnAZA2i0.js 4.763575ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:43 Holocron vikunja[26640]: 2026-02-02T16:21:43+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/sr-CS-Cfg6SYOQ.js 5.423852ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:43 Holocron vikunja[26640]: 2026-02-02T16:21:43+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/sr-CS-legacy-B_FrH4ze.js 4.593163ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
Feb 02 16:21:43 Holocron vikunja[26640]: 2026-02-02T16:21:43+01:00: WEB         ▶ 31.169.53.64  GET 200 /assets/sv-SE-5onEOZ_t.js 5.488176ms - Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0
